股票代號,股票名稱_昨,股數_昨,持股權重_昨,股票名稱_今,股數_今,持股權重_今,_merge,股數變動,持股權重變動
1210,大成,754000.0,0.45,大成,754000.0,0.39,both,0.0,-0.06
1303,南亞,4391000.0,2.0,南亞,4891000.0,1.99,both,500000.0,-0.010000000000000009
1560,中砂,1000.0,0.0,中砂,1000.0,0.0,both,0.0,0.0
2059,川湖,106000.0,3.48,川湖,116000.0,3.39,both,10000.0,-0.08999999999999986
2308,台達電,827000.0,5.84,台達電,907000.0,5.86,both,80000.0,0.020000000000000462
2317,鴻海,2034000.0,4.41,鴻海,2044000.0,3.88,both,10000.0,-0.5300000000000002
2327,國巨,1000.0,0.01,國巨,1000.0,0.01,both,0.0,0.0
2330,台積電,700000.0,9.08,台積電,796000.0,9.15,both,96000.0,0.07000000000000028
2345,智邦,507000.0,5.69,智邦,577000.0,5.77,both,70000.0,0.07999999999999918
2357,華碩,439000.0,3.15,華碩,440000.0,2.7,both,1000.0,-0.44999999999999973
2368,金像電,703000.0,3.56,金像電,783000.0,3.45,both,80000.0,-0.10999999999999988
2382,廣達,454000.0,1.41,廣達,454000.0,1.18,both,0.0,-0.22999999999999998
2383,台光電,395000.0,5.1,台光電,445000.0,5.11,both,50000.0,0.010000000000000675
2439,美律,1000.0,0.0,美律,1000.0,0.0,both,0.0,0.0
2454,聯發科,168000.0,2.51,聯發科,218000.0,2.86,both,50000.0,0.3500000000000001
2618,長榮航,430000.0,0.18,長榮航,430000.0,0.16,both,0.0,-0.01999999999999999
2884,玉山金,7255010.0,2.65,玉山金,8755010.0,2.85,both,1500000.0,0.20000000000000018
2886,兆豐金,133000.0,0.06,兆豐金,133000.0,0.05,both,0.0,-0.009999999999999995
2891,中信金,774000.0,0.36,中信金,774000.0,0.32,both,0.0,-0.03999999999999998
3008,大立光,1000.0,0.03,大立光,1000.0,0.02,both,0.0,-0.009999999999999998
3017,奇鋐,599000.0,7.18,奇鋐,679000.0,7.28,both,80000.0,0.10000000000000053
3044,健鼎,679000.0,2.44,健鼎,769000.0,2.43,both,90000.0,-0.009999999999999787
3045,台灣大,43000.0,0.05,台灣大,43000.0,0.04,both,0.0,-0.010000000000000002
3217,優群,322000.0,0.65,優群,322000.0,0.55,both,0.0,-0.09999999999999998
3231,緯創,1427000.0,1.98,緯創,998000.0,1.12,both,-429000.0,-0.8599999999999999
3515,華擎,1000.0,0.0,華擎,1000.0,0.0,both,0.0,0.0
3533,嘉澤,68000.0,1.08,嘉澤,68000.0,0.89,both,0.0,-0.19000000000000006
3605,宏致,637000.0,0.52,宏致,637000.0,0.46,both,0.0,-0.06
3653,健策,207000.0,3.4,健策,242000.0,3.35,both,35000.0,-0.04999999999999982
3661,世芯-KY,134000.0,6.0,世芯-KY,154000.0,6.07,both,20000.0,0.07000000000000028
3665,貿聯-KY,606848.0,6.43,貿聯-KY,691848.0,6.55,both,85000.0,0.1200000000000001
3706,神達,1000.0,0.0,,0.0,0.0,left_only,-1000.0,0.0
4770,上品,360000.0,1.25,上品,360000.0,0.98,both,0.0,-0.27
4958,臻鼎-KY,1223000.0,1.98,臻鼎-KY,1691000.0,2.61,both,468000.0,0.6299999999999999
5274,信驊,22000.0,1.17,信驊,22000.0,1.05,both,0.0,-0.11999999999999988
5347,世界,232000.0,0.24,世界,232000.0,0.21,both,0.0,-0.03
6139,亞翔,61000.0,0.22,亞翔,61000.0,0.19,both,0.0,-0.03
6143,振曜,343000.0,0.43,振曜,343000.0,0.37,both,0.0,-0.06
6223,旺矽,34000.0,0.43,旺矽,34000.0,0.4,both,0.0,-0.02999999999999997
6274,台燿,212000.0,0.64,台燿,212000.0,0.57,both,0.0,-0.07000000000000006
6278,台表科,1000.0,0.0,台表科,1000.0,0.0,both,0.0,0.0
6472,,0.0,0.0,保瑞,39000.0,0.29,right_only,39000.0,0.29
6510,精測,93000.0,0.99,精測,93000.0,0.86,both,0.0,-0.13
6515,穎崴,85000.0,1.06,穎崴,85000.0,0.92,both,0.0,-0.14
6669,緯穎,1000.0,0.04,緯穎,1000.0,0.03,both,0.0,-0.010000000000000002
6757,台灣虎航,192000.0,0.18,台灣虎航,192000.0,0.15,both,0.0,-0.03
6805,富世達,65000.0,0.75,富世達,65000.0,0.65,both,0.0,-0.09999999999999998
8046,南電,1345000.0,2.62,南電,1515000.0,2.5,both,170000.0,-0.1200000000000001
8069,元太,1000.0,0.0,元太,1000.0,0.0,both,0.0,0.0
8210,勤誠,470000.0,3.19,勤誠,535000.0,3.07,both,65000.0,-0.1200000000000001
8996,高力,193000.0,0.71,高力,193000.0,0.63,both,0.0,-0.07999999999999996
