股票代號,股票名稱_昨,股數_昨,持股權重_昨,股票名稱_今,股數_今,持股權重_今,_merge,股數變動,持股權重變動
1210,大成,754000.0,0.37,大成,754000,0.34,both,0.0,-0.02999999999999997
1303,南亞,4857000.0,1.8,南亞,2719000,0.97,both,-2138000.0,-0.8300000000000001
1560,中砂,1000.0,0.0,中砂,1000,0.0,both,0.0,0.0
2059,川湖,121000.0,3.34,川湖,127000,3.32,both,6000.0,-0.020000000000000018
2308,台達電,976000.0,5.81,台達電,1168000,6.68,both,192000.0,0.8700000000000001
2317,鴻海,2463000.0,4.37,鴻海,2604000,4.5,both,141000.0,0.1299999999999999
2327,國巨,1000.0,0.0,國巨,1000,0.0,both,0.0,0.0
2330,台積電,876000.0,9.15,台積電,926000,9.11,both,50000.0,-0.040000000000000924
2345,智邦,621000.0,5.71,智邦,656000,5.66,both,35000.0,-0.04999999999999982
2357,華碩,460000.0,2.62,華碩,461000,2.43,both,1000.0,-0.18999999999999995
2368,金像電,903000.0,3.74,金像電,1014000,3.94,both,111000.0,0.19999999999999973
2382,廣達,455000.0,1.09,廣達,455000,1.03,both,0.0,-0.06000000000000005
2383,台光電,517000.0,5.56,台光電,582000,6.21,both,65000.0,0.6500000000000004
2439,美律,1000.0,0.0,美律,1000,0.0,both,0.0,0.0
2454,聯發科,272000.0,3.36,聯發科,287000,3.28,both,15000.0,-0.08000000000000007
2618,長榮航,430000.0,0.15,長榮航,430000,0.14,both,0.0,-0.009999999999999981
2884,玉山金,9455010.0,2.9,玉山金,9996010,2.83,both,541000.0,-0.06999999999999984
2886,兆豐金,818000.0,0.31,兆豐金,818000,0.29,both,0.0,-0.020000000000000018
2891,中信金,774000.0,0.3,中信金,774000,0.28,both,0.0,-0.019999999999999962
3008,大立光,1000.0,0.02,大立光,1000,0.02,both,0.0,0.0
3017,奇鋐,649000.0,6.2,奇鋐,686000,6.12,both,37000.0,-0.08000000000000007
3044,健鼎,789000.0,2.27,健鼎,488000,1.31,both,-301000.0,-0.96
3045,台灣大,43000.0,0.04,台灣大,43000,0.04,both,0.0,0.0
3217,優群,322000.0,0.5,優群,322000,0.48,both,0.0,-0.020000000000000018
3231,緯創,998000.0,1.03,緯創,998000,0.97,both,0.0,-0.06000000000000005
3376,新日興,229000.0,0.48,新日興,229000,0.45,both,0.0,-0.02999999999999997
3533,嘉澤,68000.0,0.8,嘉澤,77000,0.84,both,9000.0,0.039999999999999925
3583,,0.0,0.0,辛耘,58000,0.17,right_only,58000.0,0.17
3605,宏致,1000.0,0.0,宏致,1000,0.0,both,0.0,0.0
3653,健策,262000.0,3.51,健策,277000,3.41,both,15000.0,-0.09999999999999964
3661,世芯-KY,166000.0,6.27,世芯-KY,175000,6.28,both,9000.0,0.010000000000000675
3665,貿聯-KY,744848.0,6.55,貿聯-KY,786848,6.46,both,42000.0,-0.08999999999999986
4770,上品,360000.0,0.88,上品,360000,0.82,both,0.0,-0.06000000000000005
4958,臻鼎-KY,1841000.0,2.53,臻鼎-KY,1946000,2.61,both,105000.0,0.08000000000000007
5274,信驊,22000.0,1.03,信驊,1000,0.04,both,-21000.0,-0.99
5347,世界,232000.0,0.2,世界,232000,0.18,both,0.0,-0.020000000000000018
6139,亞翔,146000.0,0.44,亞翔,209000,0.6,both,63000.0,0.15999999999999998
6143,振曜,343000.0,0.35,振曜,343000,0.32,both,0.0,-0.02999999999999997
6223,旺矽,72000.0,0.81,旺矽,72000,0.75,both,0.0,-0.06000000000000005
6274,台燿,413000.0,1.08,台燿,618000,1.63,both,205000.0,0.5499999999999998
6278,台表科,1000.0,0.0,台表科,1000,0.0,both,0.0,0.0
6472,保瑞,76000.0,0.54,保瑞,76000,0.5,both,0.0,-0.040000000000000036
6510,精測,93000.0,0.88,精測,93000,0.85,both,0.0,-0.030000000000000027
6515,穎崴,85000.0,0.94,穎崴,85000,0.88,both,0.0,-0.05999999999999994
6669,緯穎,1000.0,0.03,緯穎,1000,0.03,both,0.0,0.0
6757,台灣虎航,192000.0,0.14,台灣虎航,192000,0.14,both,0.0,0.0
6805,富世達,128000.0,1.22,富世達,137000,1.21,both,9000.0,-0.010000000000000009
8046,南電,1645000.0,2.5,南電,1739000,2.46,both,94000.0,-0.040000000000000036
8069,元太,1000.0,0.0,元太,1000,0.0,both,0.0,0.0
8210,勤誠,545000.0,2.92,勤誠,576000,2.9,both,31000.0,-0.020000000000000018
8996,高力,193000.0,0.63,高力,193000,0.58,both,0.0,-0.050000000000000044
