股票代號,股票名稱_昨,股數_昨,持股權重_昨,股票名稱_今,股數_今,持股權重_今,_merge,股數變動,持股權重變動
1210,大成,754000.0,0.51,大成,754000.0,0.45,both,0.0,-0.06
1303,南亞,3791000.0,1.87,南亞,4391000.0,2.0,both,600000.0,0.1299999999999999
1560,中砂,1000.0,0.0,中砂,1000.0,0.0,both,0.0,0.0
2059,川湖,96000.0,3.57,川湖,106000.0,3.48,both,10000.0,-0.08999999999999986
2308,台達電,737000.0,5.83,台達電,827000.0,5.84,both,90000.0,0.009999999999999787
2317,鴻海,1854000.0,4.55,鴻海,2034000.0,4.41,both,180000.0,-0.13999999999999968
2327,國巨,1000.0,0.01,國巨,1000.0,0.01,both,0.0,0.0
2330,台積電,624000.0,9.12,台積電,700000.0,9.08,both,76000.0,-0.03999999999999915
2345,智邦,447000.0,5.65,智邦,507000.0,5.69,both,60000.0,0.040000000000000036
2357,華碩,419000.0,3.44,華碩,439000.0,3.15,both,20000.0,-0.29000000000000004
2368,金像電,603000.0,3.29,金像電,703000.0,3.56,both,100000.0,0.27
2382,廣達,454000.0,1.63,廣達,454000.0,1.41,both,0.0,-0.21999999999999997
2383,台光電,330000.0,4.72,台光電,395000.0,5.1,both,65000.0,0.3799999999999999
2439,美律,1000.0,0.0,美律,1000.0,0.0,both,0.0,0.0
2454,聯發科,148000.0,2.49,聯發科,168000.0,2.51,both,20000.0,0.019999999999999574
2609,陽明,455000.0,0.34,,0.0,0.0,left_only,-455000.0,-0.34
2618,長榮航,430000.0,0.21,長榮航,430000.0,0.18,both,0.0,-0.03
2884,玉山金,6555010.0,2.69,玉山金,7255010.0,2.65,both,700000.0,-0.040000000000000036
2886,兆豐金,133000.0,0.07,兆豐金,133000.0,0.06,both,0.0,-0.010000000000000009
2891,中信金,774000.0,0.41,中信金,774000.0,0.36,both,0.0,-0.04999999999999999
3008,大立光,1000.0,0.03,大立光,1000.0,0.03,both,0.0,0.0
3017,奇鋐,534000.0,7.15,奇鋐,599000.0,7.18,both,65000.0,0.02999999999999936
3044,健鼎,629000.0,2.56,健鼎,679000.0,2.44,both,50000.0,-0.1200000000000001
3045,台灣大,43000.0,0.06,台灣大,43000.0,0.05,both,0.0,-0.009999999999999995
3217,優群,172000.0,0.36,優群,322000.0,0.65,both,150000.0,0.29000000000000004
3231,緯創,1427000.0,2.25,緯創,1427000.0,1.98,both,0.0,-0.27
3515,華擎,1000.0,0.0,華擎,1000.0,0.0,both,0.0,0.0
3533,嘉澤,68000.0,1.24,嘉澤,68000.0,1.08,both,0.0,-0.15999999999999992
3605,宏致,637000.0,0.53,宏致,637000.0,0.52,both,0.0,-0.010000000000000009
3653,健策,172000.0,3.25,健策,207000.0,3.4,both,35000.0,0.1499999999999999
3661,世芯-KY,105000.0,5.09,世芯-KY,134000.0,6.0,both,29000.0,0.9100000000000001
3665,貿聯-KY,538848.0,6.55,貿聯-KY,606848.0,6.43,both,68000.0,-0.1200000000000001
3706,神達,1465000.0,1.54,神達,1000.0,0.0,both,-1464000.0,-1.54
4770,上品,321000.0,1.23,上品,360000.0,1.25,both,39000.0,0.020000000000000018
4958,臻鼎-KY,919000.0,1.61,臻鼎-KY,1223000.0,1.98,both,304000.0,0.3699999999999999
5274,信驊,22000.0,1.29,信驊,22000.0,1.17,both,0.0,-0.1200000000000001
5347,世界,232000.0,0.27,世界,232000.0,0.24,both,0.0,-0.030000000000000027
6139,亞翔,61000.0,0.25,亞翔,61000.0,0.22,both,0.0,-0.03
6143,振曜,343000.0,0.49,振曜,343000.0,0.43,both,0.0,-0.06
6223,旺矽,34000.0,0.48,旺矽,34000.0,0.43,both,0.0,-0.04999999999999999
6274,台燿,212000.0,0.73,台燿,212000.0,0.64,both,0.0,-0.08999999999999997
6278,台表科,1000.0,0.0,台表科,1000.0,0.0,both,0.0,0.0
6510,精測,93000.0,1.11,精測,93000.0,0.99,both,0.0,-0.1200000000000001
6515,穎崴,85000.0,1.21,穎崴,85000.0,1.06,both,0.0,-0.1499999999999999
6669,緯穎,1000.0,0.04,緯穎,1000.0,0.04,both,0.0,0.0
6757,台灣虎航,192000.0,0.2,台灣虎航,192000.0,0.18,both,0.0,-0.020000000000000018
6805,,0.0,0.0,富世達,65000.0,0.75,right_only,65000.0,0.75
8046,南電,1165000.0,2.61,南電,1345000.0,2.62,both,180000.0,0.010000000000000231
8069,元太,1000.0,0.0,元太,1000.0,0.0,both,0.0,0.0
8210,勤誠,410000.0,3.06,勤誠,470000.0,3.19,both,60000.0,0.1299999999999999
8996,高力,193000.0,0.81,高力,193000.0,0.71,both,0.0,-0.10000000000000009
