股票代號,股票名稱_昨,股數_昨,持股權重_昨,股票名稱_今,股數_今,持股權重_今,_merge,股數變動,持股權重變動
1210,大成,754000,0.34,大成,754000,0.34,both,0,0.0
1303,南亞,2719000,0.97,南亞,2719000,0.97,both,0,0.0
1560,中砂,1000,0.0,中砂,1000,0.0,both,0,0.0
2059,川湖,127000,3.32,川湖,127000,3.32,both,0,0.0
2308,台達電,1168000,6.68,台達電,1168000,6.68,both,0,0.0
2317,鴻海,2604000,4.5,鴻海,2604000,4.5,both,0,0.0
2327,國巨,1000,0.0,國巨,1000,0.0,both,0,0.0
2330,台積電,926000,9.11,台積電,926000,9.11,both,0,0.0
2345,智邦,656000,5.66,智邦,656000,5.66,both,0,0.0
2357,華碩,461000,2.43,華碩,461000,2.43,both,0,0.0
2368,金像電,1014000,3.94,金像電,1014000,3.94,both,0,0.0
2382,廣達,455000,1.03,廣達,455000,1.03,both,0,0.0
2383,台光電,582000,6.21,台光電,582000,6.21,both,0,0.0
2439,美律,1000,0.0,美律,1000,0.0,both,0,0.0
2454,聯發科,287000,3.28,聯發科,287000,3.28,both,0,0.0
2618,長榮航,430000,0.14,長榮航,430000,0.14,both,0,0.0
2884,玉山金,9996010,2.83,玉山金,9996010,2.83,both,0,0.0
2886,兆豐金,818000,0.29,兆豐金,818000,0.29,both,0,0.0
2891,中信金,774000,0.28,中信金,774000,0.28,both,0,0.0
3008,大立光,1000,0.02,大立光,1000,0.02,both,0,0.0
3017,奇鋐,686000,6.12,奇鋐,686000,6.12,both,0,0.0
3044,健鼎,488000,1.31,健鼎,488000,1.31,both,0,0.0
3045,台灣大,43000,0.04,台灣大,43000,0.04,both,0,0.0
3217,優群,322000,0.48,優群,322000,0.48,both,0,0.0
3231,緯創,998000,0.97,緯創,998000,0.97,both,0,0.0
3376,新日興,229000,0.45,新日興,229000,0.45,both,0,0.0
3533,嘉澤,77000,0.84,嘉澤,77000,0.84,both,0,0.0
3583,辛耘,58000,0.17,辛耘,58000,0.17,both,0,0.0
3605,宏致,1000,0.0,宏致,1000,0.0,both,0,0.0
3653,健策,277000,3.41,健策,277000,3.41,both,0,0.0
3661,世芯-KY,175000,6.28,世芯-KY,175000,6.28,both,0,0.0
3665,貿聯-KY,786848,6.46,貿聯-KY,786848,6.46,both,0,0.0
4770,上品,360000,0.82,上品,360000,0.82,both,0,0.0
4958,臻鼎-KY,1946000,2.61,臻鼎-KY,1946000,2.61,both,0,0.0
5274,信驊,1000,0.04,信驊,1000,0.04,both,0,0.0
5347,世界,232000,0.18,世界,232000,0.18,both,0,0.0
6139,亞翔,209000,0.6,亞翔,209000,0.6,both,0,0.0
6143,振曜,343000,0.32,振曜,343000,0.32,both,0,0.0
6223,旺矽,72000,0.75,旺矽,72000,0.75,both,0,0.0
6274,台燿,618000,1.63,台燿,618000,1.63,both,0,0.0
6278,台表科,1000,0.0,台表科,1000,0.0,both,0,0.0
6472,保瑞,76000,0.5,保瑞,76000,0.5,both,0,0.0
6510,精測,93000,0.85,精測,93000,0.85,both,0,0.0
6515,穎崴,85000,0.88,穎崴,85000,0.88,both,0,0.0
6669,緯穎,1000,0.03,緯穎,1000,0.03,both,0,0.0
6757,台灣虎航,192000,0.14,台灣虎航,192000,0.14,both,0,0.0
6805,富世達,137000,1.21,富世達,137000,1.21,both,0,0.0
8046,南電,1739000,2.46,南電,1739000,2.46,both,0,0.0
8069,元太,1000,0.0,元太,1000,0.0,both,0,0.0
8210,勤誠,576000,2.9,勤誠,576000,2.9,both,0,0.0
8996,高力,193000,0.58,高力,193000,0.58,both,0,0.0
