股票代號,股票名稱_昨,股數_昨,持股權重_昨,股票名稱_今,股數_今,持股權重_今,_merge,股數變動,持股權重變動
1210,大成,754000.0,0.39,大成,754000.0,0.37,both,0.0,-0.020000000000000018
1303,南亞,4891000.0,1.99,南亞,4857000.0,1.8,both,-34000.0,-0.18999999999999995
1560,中砂,1000.0,0.0,中砂,1000.0,0.0,both,0.0,0.0
2059,川湖,116000.0,3.39,川湖,121000.0,3.34,both,5000.0,-0.050000000000000266
2308,台達電,907000.0,5.86,台達電,976000.0,5.81,both,69000.0,-0.05000000000000071
2317,鴻海,2044000.0,3.88,鴻海,2463000.0,4.37,both,419000.0,0.4900000000000002
2327,國巨,1000.0,0.01,國巨,1000.0,0.0,both,0.0,-0.01
2330,台積電,796000.0,9.15,台積電,876000.0,9.15,both,80000.0,0.0
2345,智邦,577000.0,5.77,智邦,621000.0,5.71,both,44000.0,-0.05999999999999961
2357,華碩,440000.0,2.7,華碩,460000.0,2.62,both,20000.0,-0.08000000000000007
2368,金像電,783000.0,3.45,金像電,903000.0,3.74,both,120000.0,0.29000000000000004
2382,廣達,454000.0,1.18,廣達,455000.0,1.09,both,1000.0,-0.08999999999999986
2383,台光電,445000.0,5.11,台光電,517000.0,5.56,both,72000.0,0.4499999999999993
2439,美律,1000.0,0.0,美律,1000.0,0.0,both,0.0,0.0
2454,聯發科,218000.0,2.86,聯發科,272000.0,3.36,both,54000.0,0.5
2618,長榮航,430000.0,0.16,長榮航,430000.0,0.15,both,0.0,-0.010000000000000009
2884,玉山金,8755010.0,2.85,玉山金,9455010.0,2.9,both,700000.0,0.04999999999999982
2886,兆豐金,133000.0,0.05,兆豐金,818000.0,0.31,both,685000.0,0.26
2891,中信金,774000.0,0.32,中信金,774000.0,0.3,both,0.0,-0.020000000000000018
3008,大立光,1000.0,0.02,大立光,1000.0,0.02,both,0.0,0.0
3017,奇鋐,679000.0,7.28,奇鋐,649000.0,6.2,both,-30000.0,-1.08
3044,健鼎,769000.0,2.43,健鼎,789000.0,2.27,both,20000.0,-0.16000000000000014
3045,台灣大,43000.0,0.04,台灣大,43000.0,0.04,both,0.0,0.0
3217,優群,322000.0,0.55,優群,322000.0,0.5,both,0.0,-0.050000000000000044
3231,緯創,998000.0,1.12,緯創,998000.0,1.03,both,0.0,-0.09000000000000008
3376,,0.0,0.0,新日興,229000.0,0.48,right_only,229000.0,0.48
3515,華擎,1000.0,0.0,,0.0,0.0,left_only,-1000.0,0.0
3533,嘉澤,68000.0,0.89,嘉澤,68000.0,0.8,both,0.0,-0.08999999999999997
3605,宏致,637000.0,0.46,宏致,1000.0,0.0,both,-636000.0,-0.46
3653,健策,242000.0,3.35,健策,262000.0,3.51,both,20000.0,0.1599999999999997
3661,世芯-KY,154000.0,6.07,世芯-KY,166000.0,6.27,both,12000.0,0.1999999999999993
3665,貿聯-KY,691848.0,6.55,貿聯-KY,744848.0,6.55,both,53000.0,0.0
4770,上品,360000.0,0.98,上品,360000.0,0.88,both,0.0,-0.09999999999999998
4958,臻鼎-KY,1691000.0,2.61,臻鼎-KY,1841000.0,2.53,both,150000.0,-0.08000000000000007
5274,信驊,22000.0,1.05,信驊,22000.0,1.03,both,0.0,-0.020000000000000018
5347,世界,232000.0,0.21,世界,232000.0,0.2,both,0.0,-0.009999999999999981
6139,亞翔,61000.0,0.19,亞翔,146000.0,0.44,both,85000.0,0.25
6143,振曜,343000.0,0.37,振曜,343000.0,0.35,both,0.0,-0.020000000000000018
6223,旺矽,34000.0,0.4,旺矽,72000.0,0.81,both,38000.0,0.41000000000000003
6274,台燿,212000.0,0.57,台燿,413000.0,1.08,both,201000.0,0.5100000000000001
6278,台表科,1000.0,0.0,台表科,1000.0,0.0,both,0.0,0.0
6472,保瑞,39000.0,0.29,保瑞,76000.0,0.54,both,37000.0,0.25000000000000006
6510,精測,93000.0,0.86,精測,93000.0,0.88,both,0.0,0.020000000000000018
6515,穎崴,85000.0,0.92,穎崴,85000.0,0.94,both,0.0,0.019999999999999907
6669,緯穎,1000.0,0.03,緯穎,1000.0,0.03,both,0.0,0.0
6757,台灣虎航,192000.0,0.15,台灣虎航,192000.0,0.14,both,0.0,-0.009999999999999981
6805,富世達,65000.0,0.65,富世達,128000.0,1.22,both,63000.0,0.57
8046,南電,1515000.0,2.5,南電,1645000.0,2.5,both,130000.0,0.0
8069,元太,1000.0,0.0,元太,1000.0,0.0,both,0.0,0.0
8210,勤誠,535000.0,3.07,勤誠,545000.0,2.92,both,10000.0,-0.1499999999999999
8996,高力,193000.0,0.63,高力,193000.0,0.63,both,0.0,0.0
